----------------------------------------------------------------------------------------------------------------
|        Flight no.         |       Separate with       |       Separate date       |       Separate time       |
|          GCD616           |          FPW712,          |        19-04-2018         |         16:23:50          |
|          FPW712           |          GCD616,          |        19-04-2018         |         16:23:50          |
|          VNG601           |          WVP621,          |        19-04-2018         |         16:24:03          |
|          WVP621           |          VNG601,          |        19-04-2018         |         16:24:03          |
|          VNG601           |          WVP621,          |        19-04-2018         |         16:24:04          |
|          WVP621           |          VNG601,          |        19-04-2018         |         16:24:04          |
|          YWK624           |          RGX756,          |        19-04-2018         |         16:24:07          |
|          RGX756           |          YWK624,          |        19-04-2018         |         16:24:07          |
|          YWK624           |          RGX756,          |        19-04-2018         |         16:24:07          |
|          RGX756           |          YWK624,          |        19-04-2018         |         16:24:07          |
|          VNG601           |          WVP621,          |        19-04-2018         |         16:25:02          |
|          WVP621           |          VNG601,          |        19-04-2018         |         16:25:02          |
|          VNG601           |          WVP621,          |        19-04-2018         |         16:25:02          |
|          WVP621           |          VNG601,          |        19-04-2018         |         16:25:02          |
|          RFL123           |          JEA153,          |        19-04-2018         |         16:27:14          |
|          JEA153           |          RFL123,          |        19-04-2018         |         16:27:14          |
|          LQM456           |          DLX155,          |        19-04-2018         |         16:28:36          |
|          DLX155           |          LQM456,          |        19-04-2018         |         16:28:36          |
|          CDE046           |          RFL123,          |        19-04-2018         |         16:29:15          |
|          RFL123           |          CDE046,          |        19-04-2018         |         16:29:15          |
|          GKV842           |          FKF456,          |        19-04-2018         |         16:32:07          |
|          FKF456           |          GKV842,          |        19-04-2018         |         16:32:07          |
|          WXT256           |          SJE224,          |        19-04-2018         |         16:32:31          |
|          SJE224           |          WXT256,          |        19-04-2018         |         16:32:31          |
|          VTI042           |          OCP143,          |        19-04-2018         |         16:32:40          |
|          OCP143           |          VTI042,          |        19-04-2018         |         16:32:40          |
|          LHU332           |          TAF583,          |        19-04-2018         |         16:32:58          |
|          TAF583           |          LHU332,          |        19-04-2018         |         16:32:58          |
|          XYR312           |          PIS820,          |        19-04-2018         |         16:33:36          |
|          PIS820           |          XYR312,          |        19-04-2018         |         16:33:36          |
|          GPR612           |          SQU606,          |        19-04-2018         |         16:33:37          |
|          SQU606           |          GPR612,          |        19-04-2018         |         16:33:37          |
|          FTA205           |          XUR675,          |        19-04-2018         |         16:33:53          |
|          XUR675           |          FTA205,          |        19-04-2018         |         16:33:53          |
|          EKQ140           |          WCX232,          |        19-04-2018         |         16:34:30          |
|          WCX232           |          EKQ140,          |        19-04-2018         |         16:34:30          |
|          SJE224           |          XYR312,          |        19-04-2018         |         16:34:47          |
|          XYR312           |          SJE224,          |        19-04-2018         |         16:34:47          |
|          SJE224           |          XYR312,          |        19-04-2018         |         16:34:48          |
|          XYR312           |          SJE224,          |        19-04-2018         |         16:34:48          |
|          JPF473           |          SJE224,          |        19-04-2018         |         16:34:52          |
|          SJE224           |      XYR312,JPF473,       |        19-04-2018         |         16:34:52          |
|          WFP541           |          SXX616,          |        19-04-2018         |         16:35:08          |
|          SXX616           |          WFP541,          |        19-04-2018         |         16:35:08          |
|          SJE224           |          JPF473,          |        19-04-2018         |         16:34:52          |
|          KPS515           |          FEA266,          |        19-04-2018         |         16:36:15          |
|          FEA266           |          KPS515,          |        19-04-2018         |         16:36:15          |
|          QLC673           |          JPF473,          |        19-04-2018         |         16:36:27          |
|          JPF473           |          QLC673,          |        19-04-2018         |         16:36:27          |
|          OCP143           |          XYR312,          |        19-04-2018         |         16:36:32          |
|          XYR312           |          OCP143,          |        19-04-2018         |         16:36:32          |
|          OCP143           |          XYR312,          |        19-04-2018         |         16:36:33          |
|          XYR312           |          OCP143,          |        19-04-2018         |         16:36:33          |
|          LHK146           |          PHB330,          |        19-04-2018         |         16:38:16          |
|          PHB330           |          LHK146,          |        19-04-2018         |         16:38:16          |
|          VHK580           |          HFG480,          |        19-04-2018         |         16:39:29          |
|          HFG480           |          VHK580,          |        19-04-2018         |         16:39:29          |
|          JWX027           |          ACT541,          |        19-04-2018         |         16:41:10          |
|          ACT541           |          JWX027,          |        19-04-2018         |         16:41:10          |
|          LJN606           |          ICC448,          |        19-04-2018         |         16:42:19          |
|          ICC448           |          LJN606,          |        19-04-2018         |         16:42:19          |
|          WXC384           |          LTG147,          |        19-04-2018         |         16:42:31          |
|          LTG147           |          WXC384,          |        19-04-2018         |         16:42:31          |
|          WXC384           |          LTG147,          |        19-04-2018         |         16:42:32          |
|          LTG147           |          WXC384,          |        19-04-2018         |         16:42:32          |
|          WXC384           |          LTG147,          |        19-04-2018         |         16:42:32          |
|          LTG147           |          WXC384,          |        19-04-2018         |         16:42:32          |
|          WXC384           |          LTG147,          |        19-04-2018         |         16:42:33          |
|          LTG147           |          WXC384,          |        19-04-2018         |         16:42:33          |
|          WXC384           |          LTG147,          |        19-04-2018         |         16:42:34          |
|          LTG147           |          WXC384,          |        19-04-2018         |         16:42:34          |
|          TKS173           |          JEE823,          |        19-04-2018         |         16:44:32          |
|          JEE823           |          TKS173,          |        19-04-2018         |         16:44:32          |
|          NBW024           |          KMK861,          |        19-04-2018         |         16:45:02          |
|          KMK861           |          NBW024,          |        19-04-2018         |         16:45:02          |
|          YDE500           |          VEU657,          |        19-04-2018         |         16:46:47          |
|          VEU657           |          YDE500,          |        19-04-2018         |         16:46:47          |
|          BEF163           |          XEO724,          |        19-04-2018         |         16:47:31          |
